node_type	family	status	fixture	notes	debt_class	approval	next_action
*nodes.RawStmt	statement	covered	SELECT 1 FROM dual	raw statement wrapper span	none	covered	keep_regression_guard
*nodes.SelectStmt	statement	covered	SELECT a FROM t WHERE a > 1	select statement span	none	covered	keep_regression_guard
*nodes.InsertStmt	statement	covered	INSERT INTO t (a) VALUES (1)	insert statement span	none	covered	keep_regression_guard
*nodes.UpdateStmt	statement	covered	UPDATE t SET a = 1 WHERE id = 2	update statement span	none	covered	keep_regression_guard
*nodes.DeleteStmt	statement	covered	DELETE FROM t WHERE id = 1	delete statement span	none	covered	keep_regression_guard
*nodes.MergeStmt	statement	covered	MERGE INTO t USING s ON (t.id = s.id) WHEN MATCHED THEN UPDATE SET t.x = s.x	merge statement span	none	covered	keep_regression_guard
*nodes.CommitStmt	statement	covered	COMMIT	transaction statement span	none	covered	keep_regression_guard
*nodes.RollbackStmt	statement	covered	ROLLBACK	transaction statement span	none	covered	keep_regression_guard
*nodes.SavepointStmt	statement	covered	SAVEPOINT sp1	transaction statement span	none	covered	keep_regression_guard
*nodes.SetTransactionStmt	statement	covered	SET TRANSACTION READ ONLY	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.SetRoleStmt	statement	covered	SET ROLE r	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.SetConstraintsStmt	statement	covered	SET CONSTRAINTS ALL DEFERRED	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.CallStmt	statement	covered	CALL p()	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.CommentStmt	statement	covered	COMMENT ON TABLE t IS 'x'	comment statement span	none	covered	keep_regression_guard
*nodes.TruncateStmt	statement	covered	TRUNCATE TABLE t	truncate statement span	none	covered	keep_regression_guard
*nodes.AnalyzeStmt	statement	covered	ANALYZE TABLE t COMPUTE STATISTICS	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.ExplainPlanStmt	statement	covered	EXPLAIN PLAN FOR SELECT 1 FROM dual	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PurgeStmt	statement	covered	PURGE RECYCLEBIN	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.LockTableStmt	statement	covered	LOCK TABLE t IN EXCLUSIVE MODE	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.RenameStmt	statement	covered	RENAME old_t TO new_t	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.GrantStmt	statement	covered	GRANT SELECT ON t TO u	grant statement span	none	covered	keep_regression_guard
*nodes.RevokeStmt	statement	covered	REVOKE SELECT ON t FROM u	revoke statement span	none	covered	keep_regression_guard
*nodes.DropStmt	statement	covered	DROP TABLE t	drop statement span	none	covered	keep_regression_guard
*nodes.AuditStmt	statement	covered	AUDIT SELECT ON t	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.NoauditStmt	statement	covered	NOAUDIT SELECT ON t	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AssociateStatisticsStmt	statement	covered	ASSOCIATE STATISTICS WITH FUNCTIONS f USING pkg	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.DisassociateStatisticsStmt	statement	covered	DISASSOCIATE STATISTICS FROM FUNCTIONS f	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.FlashbackTableStmt	statement	covered	FLASHBACK TABLE t TO SCN 1	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.FlashbackDatabaseStmt	statement	covered	FLASHBACK DATABASE TO SCN 1	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AdminDDLStmt	statement	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AlterTableStmt	statement	covered	ALTER TABLE t ADD (b NUMBER)	alter table span	none	covered	keep_regression_guard
*nodes.AlterTableCmd	ast	covered	ALTER TABLE t ADD (b NUMBER)	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterIndexStmt	statement	covered	ALTER INDEX idx REBUILD	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterViewStmt	statement	covered	ALTER VIEW v COMPILE	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterSequenceStmt	statement	covered	ALTER SEQUENCE s INCREMENT BY 1	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterSessionStmt	statement	covered	ALTER SESSION SET NLS_DATE_FORMAT = 'YYYY'	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterSystemStmt	statement	covered	ALTER SYSTEM SET p = 1	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterRoleStmt	statement	covered	ALTER ROLE r IDENTIFIED BY p	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterUserStmt	statement	covered	ALTER USER u IDENTIFIED BY p	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AlterProfileStmt	statement	covered	ALTER PROFILE p LIMIT SESSIONS_PER_USER 1	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
